,Date,avg_tem,avg_hum,max_tem,min_tem,max_hum,min_hum,max_hea,Month,Day,Year
0,1/1/2009,37.8,35,40,34,4,27,40,1,1,2009
1,1/2/2009,43.2,32,52,37,4,16,52,1,2,2009
2,1/3/2009,25.7,60,41,6,8,35,41,1,3,2009
3,1/4/2009,9.3,67,19,0,7,35,32,1,4,2009
4,1/5/2009,23.5,30,30,15,5,13,32,1,5,2009
5,1/6/2009,24.8,42,29,19,5,27,32,1,6,2009
6,1/7/2009,34.2,60,39,27,8,46,39,1,7,2009
7,1/8/2009,42.1,41,51,36,5,28,51,1,8,2009
8,1/9/2009,30.3,46,41,19,8,27,41,1,9,2009
9,1/10/2009,26.2,38,31,22,4,29,32,1,10,2009
10,1/11/2009,30.1,41,36,26,5,29,36,1,11,2009
11,1/12/2009,23.4,60,31,16,8,41,32,1,12,2009
12,1/13/2009,32.4,47,38,28,5,34,38,1,13,2009
13,1/14/2009,33.1,45,39,28,5,34,39,1,14,2009
14,1/15/2009,35.7,42,43,27,5,28,43,1,15,2009
15,1/16/2009,41.6,28,53,32,4,14,53,1,16,2009
16,1/17/2009,40.9,21,54,28,2,11,54,1,17,2009
17,1/18/2009,43.4,15,52,27,2,8,52,1,18,2009
18,1/19/2009,46.6,19,57,36,3,7,57,1,19,2009
19,1/20/2009,40,27,61,16,6,4,61,1,20,2009
20,1/21/2009,48.2,11,55,41,1,6,55,1,21,2009
21,1/22/2009,44.8,40,52,38,6,17,52,1,22,2009
22,1/23/2009,24.8,81,38,12,8,63,38,1,23,2009
23,1/24/2009,35.4,68,47,13,9,40,47,1,24,2009
24,1/25/2009,21,77,39,5,9,45,39,1,25,2009
25,1/26/2009,2.8,73,11,-3,7,65,32,1,26,2009
26,1/27/2009,7.9,51,19,-11,7,25,32,1,27,2009
27,1/28/2009,21.8,43,27,15,5,31,32,1,28,2009
28,1/29/2009,22.5,40,30,15,5,27,32,1,29,2009
29,1/30/2009,36,33,46,27,4,22,46,1,30,2009
30,1/31/2009,38.3,22,45,29,3,14,45,1,31,2009
31,2/1/2009,30.8,26,38,25,4,12,38,2,1,2009
32,2/2/2009,33,33,40,26,4,25,40,2,2,2009
33,2/3/2009,38.6,37,48,31,5,19,48,2,3,2009
34,2/4/2009,43.3,16,55,27,2,7,55,2,4,2009
35,2/5/2009,45.6,15,53,34,2,10,53,2,5,2009
36,2/6/2009,33.4,50,44,20,9,27,44,2,6,2009
37,2/7/2009,34.2,56,43,23,8,35,43,2,7,2009
38,2/8/2009,31.5,65,50,21,8,27,50,2,8,2009
39,2/9/2009,31.2,48,38,26,8,31,38,2,9,2009
40,2/10/2009,25.8,56,33,14,8,36,33,2,10,2009
41,2/11/2009,23.2,53,30,10,7,36,32,2,11,2009
42,2/12/2009,25.9,48,35,11,8,25,35,2,12,2009
43,2/13/2009,19.9,77,29,11,8,54,32,2,13,2009
44,2/14/2009,20.5,75,31,12,8,43,32,2,14,2009
45,2/15/2009,27.8,32,35,16,8,17,35,2,15,2009
46,2/16/2009,38.9,24,46,34,4,15,46,2,16,2009
47,2/17/2009,32.5,44,37,26,8,27,37,2,17,2009
48,2/18/2009,28.3,42,35,24,5,26,35,2,18,2009
49,2/19/2009,27.8,37,34,22,5,23,34,2,19,2009
50,2/20/2009,27.9,36,37,12,8,13,37,2,20,2009
51,2/21/2009,34.7,29,50,8,8,15,50,2,21,2009
52,2/22/2009,44,18,54,34,2,10,54,2,22,2009
53,2/23/2009,44.7,47,53,38,6,27,53,2,23,2009
54,2/24/2009,44.4,41,50,37,6,30,50,2,24,2009
55,2/25/2009,45.8,32,56,33,8,13,56,2,25,2009
56,2/26/2009,35.2,53,43,28,8,24,43,2,26,2009
57,2/27/2009,26.7,45,34,18,7,25,34,2,27,2009
58,2/28/2009,29.1,27,42,16,5,10,42,2,28,2009
59,3/1/2009,40.6,21,58,14,5,9,58,3,1,2009
60,3/2/2009,54,16,62,44,2,11,62,3,2,2009
