,avg_tem,avg_hum,avg_dew,max_tem,min_tem,max_hum,min_hum,max_hea,Month,date_obj,Year,dep_dew,ran_dew
0,32.1,49.0,15.2,40.0,22.1,61.0,41.0,40.0,1,2010-01-01,2010,16.900000000000002,57.10000000000001
1,32.1,50.0,15.5,39.1,22.0,77.0,39.0,39.1,1,2010-01-02,2010,16.6,62.78
2,23.1,64.0,12.1,33.4,9.2,85.0,34.0,33.4,1,2010-01-03,2010,11.000000000000002,74.56
3,25.7,48.0,7.2,36.5,7.6,82.0,25.0,36.5,1,2010-01-04,2010,18.5,81.42
4,34.3,51.0,17.8,40.1,28.4,60.0,43.0,40.1,1,2010-01-05,2010,16.499999999999996,49.82000000000001
5,18.4,68.0,9.3,36.3,-2.2,79.0,50.0,36.3,1,2010-01-06,2010,9.099999999999998,80.94
6,1.4,63.0,-8.6,15.9,-10.5,75.0,49.0,32.0,1,2010-01-07,2010,10.0,67.76
7,23.5,24.0,-11.4,38.2,-7.0,67.0,13.0,38.2,1,2010-01-08,2010,34.9,96.64
8,37.7,18.0,-2.9,50.4,28.0,32.0,13.0,50.4,1,2010-01-09,2010,40.6,61.239999999999995
9,30.3,36.0,4.1,49.4,16.2,66.0,14.0,49.4,1,2010-01-10,2010,26.200000000000003,83.92
10,24.2,53.0,6.3,51.6,6.3,80.0,14.0,51.6,1,2010-01-11,2010,17.9,101.06
11,40.2,20.0,-1.6,53.6,11.6,68.0,10.0,53.6,1,2010-01-12,2010,41.800000000000004,94.88000000000001
12,37.3,30.0,6.6,46.0,20.8,63.0,15.0,46.0,1,2010-01-13,2010,30.699999999999996,74.47999999999999
13,24.6,61.0,12.2,42.0,13.5,78.0,30.0,42.0,1,2010-01-14,2010,12.400000000000002,77.78
14,32.5,37.0,7.5,46.5,17.7,60.0,11.0,46.5,1,2010-01-15,2010,25.0,78.44000000000001
15,42.3,24.0,7.7,53.7,31.5,35.0,15.0,53.7,1,2010-01-16,2010,34.599999999999994,61.400000000000006
16,36.7,47.0,16.6,44.5,21.8,81.0,25.0,44.5,1,2010-01-17,2010,20.1,74.86000000000001
17,35.0,47.0,15.3,44.5,-10.0,83.0,20.0,44.5,1,2010-01-18,2010,19.7,109.17999999999999
